"X","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","C13","C14","C15","C16","C17","C18","C19","C20","C21","C22"
"R75",0,-14.8,0,-14.8,0,-14.8,3.129e-10,-14.8,6.774e-06,-14.8,0.002616,-14.8,0.05608,-14.8,0.145,-14.8,0.07784,-14.8,0.01271,-14.8,0.0008298,-14.8
"R76",0,-15,0,-15,0,-15,1.445e-10,-15,3.883e-06,-15,0.001831,-15,0.04691,-15,0.1419,-15,0.08726,-15,0.01604,-15,0.001161,-15
"R77",0,-15.2,0,-15.2,0,-15.2,0,-15.2,2.202e-06,-15.2,0.001266,-15.2,0.03874,-15.2,0.137,-15.2,0.09652,-15.2,0.01997,-15.2,0.001604,-15.2
"R78",0,-15.4,0,-15.4,0,-15.4,0,-15.4,1.236e-06,-15.4,0.0008646,-15.4,0.03158,-15.4,0.1305,-15.4,0.1054,-15.4,0.02456,-15.4,0.002187,-15.4
"R79",0,-15.6,0,-15.6,0,-15.6,0,-15.6,6.864e-07,-15.6,0.0005836,-15.6,0.02542,-15.6,0.1227,-15.6,0.1135,-15.6,0.0298,-15.6,0.002946,-15.6
"R80",0,-15.8,0,-15.8,0,-15.8,0,-15.8,3.774e-07,-15.8,0.0003895,-15.8,0.02021,-15.8,0.1139,-15.8,0.1208,-15.8,0.03572,-15.8,0.00392,-15.8
"R81",0,-16,0,-16,0,-16,0,-16,2.055e-07,-16,0.0002569,-16,0.01587,-16,0.1044,-16,0.1269,-16,0.04227,-16,0.005151,-16
"R82",0,-16.2,0,-16.2,0,-16.2,0,-16.2,1.108e-07,-16.2,0.0001676,-16.2,0.01231,-16.2,0.09455,-16.2,0.1316,-16.2,0.04941,-16.2,0.006688,-16.2
"R83",0,-16.4,0,-16.4,0,-16.4,0,-16.4,5.92e-08,-16.4,0.0001082,-16.4,0.009438,-16.4,0.08455,-16.4,0.1348,-16.4,0.05705,-16.4,0.008579,-16.4
"R84",0,-16.6,0,-16.6,0,-16.6,0,-16.6,3.134e-08,-16.6,6.906e-05,-16.6,0.007152,-16.6,0.0747,-16.6,0.1365,-16.6,0.06508,-16.6,0.01087,-16.6
"R85",0,-16.8,0,-16.8,0,-16.8,0,-16.8,1.644e-08,-16.8,4.363e-05,-16.8,0.005358,-16.8,0.06521,-16.8,0.1364,-16.8,0.07334,-16.8,0.01362,-16.8
"R86",0,-17,0,-17,0,-17,0,-17,8.547e-09,-17,2.728e-05,-17,0.003969,-17,0.05626,-17,0.1348,-17,0.08168,-17,0.01686,-17
"R87",0,-17.2,0,-17.2,0,-17.2,0,-17.2,4.406e-09,-17.2,1.688e-05,-17.2,0.002907,-17.2,0.04798,-17.2,0.1316,-17.2,0.08991,-17.2,0.02064,-17.2
"R88",0,-17.4,0,-17.4,0,-17.4,0,-17.4,2.252e-09,-17.4,1.035e-05,-17.4,0.002106,-17.4,0.04045,-17.4,0.127,-17.4,0.09782,-17.4,0.02497,-17.4
"R89",0,-17.6,0,-17.6,0,-17.6,0,-17.6,1.141e-09,-17.6,6.278e-06,-17.6,0.00151,-17.6,0.03372,-17.6,0.1212,-17.6,0.1052,-17.6,0.02986,-17.6
"R90",0,-17.8,0,-17.8,0,-17.8,0,-17.8,5.739e-10,-17.8,3.773e-06,-17.8,0.001071,-17.8,0.0278,-17.8,0.1143,-17.8,0.1119,-17.8,0.03532,-17.8
"R91",0,-18,0,-18,0,-18,0,-18,2.863e-10,-18,2.246e-06,-18,0.0007517,-18,0.02266,-18,0.1066,-18,0.1176,-18,0.04131,-18
"R92",0,-18.2,0,-18.2,0,-18.2,0,-18.2,1.417e-10,-18.2,1.325e-06,-18.2,0.0005222,-18.2,0.01828,-18.2,0.09831,-18.2,0.1223,-18.2,0.04779,-18.2
"R93",0,-18.4,0,-18.4,0,-18.4,0,-18.4,0,-18.4,7.747e-07,-18.4,0.0003592,-18.4,0.01459,-18.4,0.08969,-18.4,0.1257,-18.4,0.05468,-18.4
"R94",0,-18.6,0,-18.6,0,-18.6,0,-18.6,0,-18.6,4.488e-07,-18.6,0.0002446,-18.6,0.01152,-18.6,0.08094,-18.6,0.1279,-18.6,0.06189,-18.6
"R95",0,-18.8,0,-18.8,0,-18.8,0,-18.8,0,-18.8,2.578e-07,-18.8,0.0001649,-18.8,0.008999,-18.8,0.07227,-18.8,0.1287,-18.8,0.06931,-18.8
"R96",0,-19,0,-19,0,-19,0,-19,0,-19,1.468e-07,-19,0.0001102,-19,0.006961,-19,0.06384,-19,0.1281,-19,0.07679,-19
"R97",0,-19.2,0,-19.2,0,-19.2,0,-19.2,0,-19.2,8.288e-08,-19.2,7.288e-05,-19.2,0.00533,-19.2,0.05582,-19.2,0.1262,-19.2,0.08419,-19.2
"R98",0,-19.4,0,-19.4,0,-19.4,0,-19.4,0,-19.4,4.641e-08,-19.4,4.777e-05,-19.4,0.00404,-19.4,0.0483,-19.4,0.1231,-19.4,0.09134,-19.4
"R99",0,-19.6,0,-19.6,0,-19.6,0,-19.6,0,-19.6,2.578e-08,-19.6,3.103e-05,-19.6,0.003033,-19.6,0.04137,-19.6,0.1187,-19.6,0.09809,-19.6
"R100",0,-19.8,0,-19.8,0,-19.8,0,-19.8,0,-19.8,1.414e-08,-19.8,1.991e-05,-19.8,0.002251,-19.8,0.03506,-19.8,0.1134,-19.8,0.1043,-19.8
"R101",0,-20,0,-20,0,-20,0,-20,0,-20,1.414e-08,-20,1.991e-05,-20,0.002251,-20,0.03506,-20,0.1134,-20,0.1043,-20
