"Unit","Group","SampleID","Notes","Easting","Northing","Depth_upper","Depth_lower","Depth_mean","Zone","EC","EC_units","pH","MP_fibres","MP_fragments","MP_films","MP_beads","MP_other","Al","As","Ba","Ca","Cd","Ce","Co","Cr","Cu","Fe","Ga","Gd","K","La","Li","Mg","Mn","Mo","Na","Nd","Ni","P","Pb","Rb","S","Sc","Sr","Th","Ti","V","Y","Zn"
"ENVT3361","6","2025-S06","",400043,6468186,10,20,15,"Woolcock",2.38,"mS",7.1,NA,NA,NA,NA,NA,36138,6.71,61.9,1013,NA,47.5,5.36,50.2,15.1,29996,18.57,3.855,1760,22.63,32.21,2347,58.8,6.04,3632,18.36,10.12,70.2,12.7,30.1,462,7.31,20.29,20.073,696.1,77.05,7.944,78.5
"ENVT3361","6","2025-S06","",400038,6468179,0,10,5,"Woolcock",4.34,"mS",6.54,NA,NA,NA,NA,NA,28834,5.98,21.5,1743,0.061,76.1,9.71,36.2,15.2,35271,10.21,6.017,1646,29.92,34.48,2729,46.2,5.684,8689,29.208,9.36,200.2,23.1,21.9,3226,5.418,25.18,12.193,348.7,51.2,16.423,498.8
"ENVT3361","6","2025-S06","",400038,6468179,10,20,15,"Woolcock",2.03,"mS",6.44,NA,NA,NA,NA,NA,25897,6.29,30.9,1328,0.063,59.1,8.45,37.6,13.3,34122,11.19,5.033,1570,24.01,29.17,2273,46.4,4.191,5518,23.099,7.83,130.5,18.6,21.4,2484,5.527,19.41,13.952,386.6,52.06,11.919,336.2
"ENVT3361","6","2025-S06","",400045,6468181,0,10,5,"Woolcock",4.05,"mS",7.1,NA,NA,NA,NA,NA,18814,5.41,63.5,1113,0.022,37.1,5.14,32.4,13,32826,10.88,3.217,1203,16.53,19.98,1994,44.3,3.978,5534,14.663,5.65,94.4,11.7,16.8,2236,4.531,19.43,12.922,427.5,45.87,6.764,143.1
"ENVT3361","6","2025-S06","",400045,6468181,10,20,15,"Woolcock",2.18,"mS",6.6,NA,NA,NA,NA,NA,27810,4.18,50.8,1048,0.026,50.2,7.49,39.4,14.6,22264,12.39,3.882,1535,22.14,29.62,2244,44.3,4.286,4464,18.652,8.83,94.1,14.6,21.4,2559,5.745,19.46,14.915,461.3,49.71,9.608,355.5
"ENVT3361","7","2025-S0701","",400457,6468325,0,10,5,"Pond_N",8.95,"mS",5.8,NA,NA,NA,NA,NA,59652,8.97,60.5,2152,0.026,168.2,6.75,59.3,128.5,33642,14.35,14.297,3019,51.86,55.8,3877,46.5,2.772,12273,75.745,23.96,666.1,32.4,55.1,1873,9.244,59.73,18.153,440.9,64.57,32.869,74.3
"ENVT3361","7","2025-S0701","",400457,6468325,10,20,15,"Pond_N",10.16,"mS",5.95,NA,NA,NA,NA,NA,53919,39.76,62,3448,0.067,163.9,6.78,55,313.6,46770,13,12.798,2658,59.88,42.11,4835,46.6,4.103,17892,65.059,19.5,2810.3,149.5,46.2,3509,7.348,83.05,14.907,367.2,65.65,39.05,220.9
"ENVT3361","7","2025-S0701","",400457,6468325,20,30,25,"Pond_N",9.78,"mS",5.62,NA,NA,NA,NA,NA,55193,16.04,90.2,2766,0.096,150.3,7.15,53.9,129.6,44429,11.67,13.97,3039,46.82,60.01,4330,39.8,4.123,18520,70.436,24.74,943.4,50.6,49.2,3323,7.831,92.25,16.162,327.9,62.6,29.903,88.5
"ENVT3361","7","2025-S0701","",400457,6468325,30,40,35,"Pond_N",7.27,"mS",5.53,NA,NA,NA,NA,NA,72196,5.22,119.7,1929,0.021,139.1,9.86,60.5,39.1,38277,13.39,13.997,3897,43.07,114.01,3825,35.9,4.953,13792,70.021,35.64,538.7,25.2,57.5,2539,9.359,129.8,16.404,316.5,79.13,23.926,34.2
"ENVT3361","7","2025-S0701","",400457,6468325,40,60,50,"Pond_N",4.95,"mS",6.1,NA,NA,NA,NA,NA,43763,4.94,59.6,2228,NA,36.4,4.43,47.8,17.8,25068,15.88,3.128,1786,15.81,28.6,2188,60.8,5.928,5210,15.336,11.17,90.4,38.2,29.2,857,7.192,21.61,15.944,542.9,65.44,4.669,24.4
