Count_,NUMBER_,LOCATION,MAP_NAME,EAST_1984,NORTH_1984,ZONE_,HOLE,DEPTH_FT,DEPTH_M,PETROLOGY,PET_DESC,Rock,REFERENCE,REF_DESC,ORG_NUMBER,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,CO2,Co,Cr,Cu,Ni,Rb,Sr,V,Y,Zn,Zr,Lith
62,1480,BELELE,BELELE,636244.5,7075285,50,,-9999,-9999,U,uralitized,Basalt,JAH,JA Hallberg,CSIR,550000,6300,136000,25000,69000,2000,65000,94000,28400,4700,2200,20000,0.01,57,93,70,110,18,107,244,20,51,54,BASALT
63,1481,BELELE,BELELE,636524.5,7075559,50,,-9999,-9999,EU,epidotized; uralitized,Dolerite,JAH,JA Hallberg,CSIR,531000,5900,140000,29000,75000,1800,65000,1.00E+05,19400,6400,2500,24000,2000,65,32,88,118,25,115,243,13,54,52,DOLERITE
89,1427,BOORABBIN,BOORABBIN,357471.5,6519416,51,,-9999,-9999,R,recrystallized,High-Mg Basalt,MJH,"MJ Hough PhD thesis, ANU, 1975",ANU,496000,7700,144000,26000,104000,1800,79000,89000,47000,3900,100,17000,0.01,67,77,6,41,14,126,259,15,295,43,HIGH MG BASALT
90,1428,BOORABBIN,BOORABBIN,357471.5,6519416,51,,-9999,-9999,R,recrystallized,High-Mg Basalt,MJH,"MJ Hough PhD thesis, ANU, 1975",ANU,530000,7200,134000,22000,90000,1500,88000,78000,47300,1100,100,18000,1000,61,475,59,63,3,64,262,17,57,44,HIGH MG BASALT
91,1429,BOORABBIN,BOORABBIN,357471.5,6519416,51,,-9999,-9999,R,recrystallized,High-Mg Basalt,MJH,"MJ Hough PhD thesis, ANU, 1975",ANU,502000,6000,129000,24000,94000,1800,98000,99000,41100,2500,2000,16000,0.01,67,536,17,73,8,127,222,14,381,34,HIGH MG BASALT
103,793,COOLGARDIE,KALGOORLIE,327154.6,6572922,51,,-9999,-9999,U,uralitized,Basalt,JAH,JA Hallberg,UWA,527000,6400,173000,30000,62000,2900,49000,102000,25500,1700,1700,22000,0.01,35,320,218,114,5,230,334,21,66,72,BASALT
104,794,COOLGARDIE,KALGOORLIE,327154.6,6572922,51,,-9999,-9999,U,uralitized,Basalt,JAH,JA Hallberg,UWA,507000,7100,158000,14000,83000,2100,78000,118000,19200,800,1000,11000,1000,60,440,53,152,3,88,356,14,94,53,BASALT
105,795,COOLGARDIE,KALGOORLIE,327154.6,6572922,51,,-9999,-9999,U,uralitized,Basalt,JAH,JA Hallberg,UWA,540000,7000,156000,14000,73000,2200,67000,105000,31200,800,1200,9000,0.01,54,475,53,140,1,94,288,17,86,53,BASALT
106,796,COOLGARDIE,KALGOORLIE,327154.6,6572922,51,,-9999,-9999,U,uralitized,Basalt,JAH,JA Hallberg,UWA,547000,7600,162000,16000,68000,1600,53000,1.00E+05,32200,700,1200,7000,0.01,55,365,35,165,5,106,280,17,80,48,BASALT
107,797,COOLGARDIE,KALGOORLIE,327154.6,6572922,51,,-9999,-9999,U,uralitized,Basalt,JAH,JA Hallberg,UWA,532000,7200,159000,12000,71000,1900,74000,102000,38700,1000,1000,8000,0.01,50,350,21,146,3,101,307,17,85,59,BASALT
147,1450,CUE,CUE,591105.5,6948479,50,,-9999,-9999,CTS,chlorite tremolite schist,High-Mg Basalt,JAH,JA Hallberg,CSIR,515000,5000,106000,16000,80000,1700,134000,85000,8700,2200,900,37000,2000,64,1235,50,228,10,75,213,7,64,40,HIGH MG BASALT
149,1452,CUE,CUE,589506.7,6966093,50,,-9999,-9999,PU,porphyritic; uralitized,Basalt,JAH,JA Hallberg,CSIR,504000,8200,139000,25000,95000,2800,63000,116000,26200,1700,1400,13000,0.01,70,108,7,89,2,67,325,22,77,41,BASALT
150,1453,CUE,CUE,589591.7,6966461,50,,-9999,-9999,U,uralitized,Basalt,JAH,JA Hallberg,CSIR,513000,8300,143000,30000,88000,2500,51000,124000,26400,1400,1400,14000,0.01,60,112,30,78,4,59,346,25,54,42,BASALT
152,1455,CUE,CUE,612805.2,6955499,50,,-9999,-9999,R,recrystallized,Basalt,JAH,JA Hallberg,CSIR,501000,10300,140000,28000,98000,2100,71000,112000,19900,1700,1900,14000,0.01,65,162,97,104,4,147,321,23,69,61,BASALT
153,1456,CUE,CUE,577629,6954942,50,,-9999,-9999,R,recrystallized,Basalt,JAH,JA Hallberg,CSIR,504000,9400,131000,28000,86000,1800,89000,105000,20600,900,1700,21000,0.01,68,473,79,140,2,132,307,18,78,51,BASALT
155,1458,CUE,CUE,555353.7,7010140,50,,-9999,-9999,EU,epidotized; uralitized,Basalt,JAH,JA Hallberg,CSIR,547000,5200,151000,20000,61000,1700,71000,84000,23700,4700,1200,28000,0.01,67,321,54,223,16,159,179,10,73,76,BASALT
156,1459,CUE,CUE,555267,7009217,50,,-9999,-9999,PU,porphyritic; uralitized,Basalt,JAH,JA Hallberg,CSIR,557000,7500,140000,36000,51000,1600,49000,116000,12200,4700,1500,22000,0.01,63,130,31,93,19,136,247,22,58,116,BASALT
157,1460,CUE,CUE,554822.3,7008327,50,,-9999,-9999,,,High-Mg Basalt,JAH,JA Hallberg,CSIR,543000,5400,117000,14000,70000,1600,109000,67000,29400,6300,600,33000,0.01,59,1151,71,208,29,45,212,11,64,61,HIGH MG BASALT
158,1461,CUE,CUE,596392.8,7007737,50,,-9999,-9999,SL,silicified,Basalt,JAH,JA Hallberg,CSIR,625000,5300,148000,22000,30000,800,38000,51000,19500,17000,2500,24000,0.01,49,154,22,118,49,658,105,10,62,129,BASALT
714,1032,KURNALPI,KURNALPI,447375.6,6659992,51,,-9999,-9999,,,High-Mg Basalt,JAH,JA Hallberg,CSIR,505000,6500,122000,32000,70000,1700,108000,107000,16100,700,1500,31000,0.01,63,720,43,175,1,102,206,18,83,45,HIGH MG BASALT
715,1033,KURNALPI,KURNALPI,446544.3,6660450,51,,-9999,-9999,R,recrystallized,Gabbro,JAH,JA Hallberg,CSIR,473000,8400,141000,37000,94000,1800,93000,97000,16000,600,1800,41000,0.01,78,330,99,153,1,92,304,20,94,47,GABBRO
716,1034,KURNALPI,KURNALPI,446355,6660880,51,,-9999,-9999,R,recrystallized,Basalt,JAH,JA Hallberg,CSIR,483000,10200,139000,47000,97000,1900,70000,91000,18200,1200,1500,34000,4000,49,160,266,96,1,122,348,25,79,55,BASALT
717,1035,KURNALPI,KURNALPI,445978.4,6661340,51,,-9999,-9999,U,uralitized,Basalt,JAH,JA Hallberg,CSIR,476000,10400,146000,47000,92000,1800,72000,97000,26300,400,1100,28000,5000,47,150,29,99,1,108,288,19,103,60,BASALT
718,1036,KURNALPI,KURNALPI,445628.4,6661800,51,,-9999,-9999,U,uralitized,Basalt,JAH,JA Hallberg,CSIR,477000,10300,147000,42000,81000,1900,69000,86000,20100,500,2000,33000,3000,70,147,59,96,1,95,470,25,126,61,BASALT
729,1200,LAVERTON,LAVERTON,462710,6810962,51,,-9999,-9999,U,uralitized,Basalt,JAH,JA Hallberg,CSIR,508000,10800,147000,35000,99000,3100,48000,103000,18600,2600,1300,23000,0.01,80,132,80,150,5,96,335,21,100,68,BASALT
730,1201,LAVERTON,LAVERTON,461101.8,6813696,51,,-9999,-9999,EU,epidotized; uralitized,Basalt,JAH,JA Hallberg,CSIR,495000,8100,141000,32000,74000,1800,83000,113000,17400,700,1200,28000,5000,54,249,15,100,2,91,261,15,68,53,BASALT
740,1211,LAVERTON,LAVERTON,445387.7,6823481,51,,-9999,-9999,EU,epidotized; uralitized,Basalt,JAH,JA Hallberg,CSIR,527000,12400,153000,31000,69000,1400,56000,73000,28000,7500,2200,30000,5000,64,219,20,108,17,265,189,13,79,140,BASALT
742,1213,LAVERTON,LAVERTON,448507.1,6823618,51,,-9999,-9999,PU,porphyritic; uralitized,Basalt,JAH,JA Hallberg,CSIR,512000,6600,141000,28000,73000,1700,59000,124000,29900,6500,1500,16000,0.01,54,606,8,100,21,278,194,12,32,73,BASALT
745,1216,LAVERTON,LAVERTON,432429.7,6816950,51,,-9999,-9999,EU,epidotized; uralitized,Basalt,JAH,JA Hallberg,CSIR,486000,10000,145000,32000,92000,2400,70000,104000,17700,1300,1100,36000,2000,72,234,74,150,4,100,324,20,93,59,BASALT
746,1217,LAVERTON,LAVERTON,431773.7,6817839,51,,-9999,-9999,EU,epidotized; uralitized,Basalt,JAH,JA Hallberg,CSIR,484000,9000,143000,35000,87000,2300,80000,109000,16400,2600,1200,26000,6000,60,279,100,130,9,119,316,19,78,46,BASALT
747,1218,LAVERTON,LAVERTON,424251.4,6815268,51,,-9999,-9999,U,uralitized,Basalt,JAH,JA Hallberg,CSIR,471000,9900,148000,42000,83000,2200,68000,135000,12800,900,1400,28000,0.01,52,227,104,128,4,207,322,20,69,61,BASALT
749,1221,LAVERTON,LAVERTON,410254.1,6816123,51,,-9999,-9999,U,uralitized,Basalt,JAH,JA Hallberg,CSIR,488000,9500,152000,37000,85000,2200,73000,102000,23000,2700,1500,30000,2000,50,270,43,160,8,142,317,14,89,52,BASALT
